assay,cv_folds,cv_roc_auc,cv_balanced_accuracy,cv_f1,samples,positive_rate,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,train_samples,test_samples,train_positive_rate
NR.AhR,3,0.906851,0.727218,0.584001,610,0.119672,0.906557,0.716117,0.653846,0.465753,0.544,0.910334,8441,610,0.116218
NR.AR,3,0.836027,0.759964,0.63859,586,0.020478,0.977816,0.58072,0.4,0.166667,0.235294,0.775116,9654,586,0.039673
NR.AR.LBD,3,0.894231,0.791725,0.670825,582,0.013746,0.9811,0.497387,0.0,0.0,0.0,0.787565,8852,582,0.034681
NR.Aromatase,3,0.871759,0.650607,0.434765,528,0.073864,0.929924,0.549237,0.666667,0.102564,0.177778,0.81443,7440,528,0.050806
NR.ER,3,0.76726,0.679386,0.491689,516,0.098837,0.910853,0.618849,0.619048,0.254902,0.361111,0.800211,7962,516,0.121075
NR.ER.LBD,3,0.866165,0.711534,0.551572,600,0.033333,0.968333,0.573276,0.6,0.15,0.24,0.757888,9040,600,0.050442
NR.PPAR.gamma,3,0.847494,0.590048,0.295413,605,0.05124,0.947107,0.529645,0.4,0.064516,0.111111,0.768827,8451,605,0.028044
SR.ARE,3,0.855629,0.6384,0.422463,555,0.167568,0.83964,0.585917,0.558824,0.204301,0.299213,0.779849,7401,555,0.154844
SR.ATAD5,3,0.885228,0.617501,0.354334,622,0.061093,0.942122,0.587824,0.583333,0.184211,0.28,0.807971,9363,622,0.03877
SR.HSE,3,0.810422,0.565848,0.226063,610,0.036066,0.959016,0.541203,0.285714,0.090909,0.137931,0.817911,8417,610,0.052038
SR.MMP,3,0.933875,0.754445,0.638722,543,0.110497,0.909761,0.715735,0.622222,0.466667,0.533333,0.929055,7558,543,0.156126
SR.p53,3,0.885641,0.643033,0.429023,616,0.066558,0.925325,0.529629,0.272727,0.073171,0.115385,0.833849,8903,616,0.063462
