assay,feature,importance
NR.AhR,naro,0.011424
NR.AhR,ecfp2:1866620644,0.011414
NR.AhR,ecfp6:1866620644,0.01058
NR.AhR,MoRSEM22,0.009537
NR.AhR,MoRSEP19,0.008604
NR.AhR,dfs8:63670037,0.008224
NR.AhR,dfs8:66252,0.008216
NR.AhR,MoRSEP25,0.007958
NR.AhR,ecfp10:1866620644,0.007746
NR.AhR,ecfp4:1866620644,0.007286
NR.AhR,MoRSEV25,0.007211
NR.AhR,MoRSEV13,0.006781
NR.AhR,dfs6:66252,0.006555
NR.AhR,slogPVSA5,0.006501
NR.AhR,bcute9,0.006361
NR.AhR,MoRSEE14,0.006226
NR.AhR,UI,0.006159
NR.AhR,MoRSEP12,0.006068
NR.AhR,dfs6:-428753296,0.005696
NR.AhR,slogPVSA7,0.005576
NR.AR,Chiv7,0.012664
NR.AR,Chiv5,0.011677
NR.AR,Chiv6,0.011553
NR.AR,Chi7,0.011309
NR.AR,bcutm9,0.01074
NR.AR,ecfp6:-1588525584,0.010242
NR.AR,ecfp10:-1588525584,0.0101
NR.AR,ecfp8:-1588525584,0.010018
NR.AR,Chi6,0.009965
NR.AR,Chiv8,0.009476
NR.AR,Chiv9,0.009399
NR.AR,ecfp4:-1588525584,0.008599
NR.AR,dfs8:-468062237,0.008489
NR.AR,nring,0.008359
NR.AR,dfs8:-468062721,0.007842
NR.AR,RDFU2,0.007173
NR.AR,PC4,0.007143
NR.AR,bcutv9,0.006713
NR.AR,ecfp2:-1588525584,0.006563
NR.AR,Chi9,0.006221
NR.AR.LBD,Chi9,0.021397
NR.AR.LBD,Chi7,0.017461
NR.AR.LBD,Chiv4pc,0.014398
NR.AR.LBD,bcutm9,0.014032
NR.AR.LBD,Chiv9,0.013985
NR.AR.LBD,Chiv10,0.013722
NR.AR.LBD,PC6,0.013464
NR.AR.LBD,Chiv4,0.012798
NR.AR.LBD,bcutp9,0.012618
NR.AR.LBD,Chiv6ch,0.012572
NR.AR.LBD,Qindex,0.01236
NR.AR.LBD,nring,0.010375
NR.AR.LBD,bcute9,0.010321
NR.AR.LBD,Chiv8,0.010268
NR.AR.LBD,knotpv,0.010019
NR.AR.LBD,Chiv7,0.009205
NR.AR.LBD,Chi8,0.00907
NR.AR.LBD,knotp,0.00851
NR.AR.LBD,Chi4,0.008398
